FORMULA,Process Method,Process Condition,Measurement Method,Measuremet T (Â°C),Measuremet P (MPa),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Grain Size (Î¼m),Structure: BCC/FCC/other,Structure: Microstructure,Structure: Grain Boundary Characteristics,Structure: Defect Density (1/m^3),Structure: Thickness (nm),Position: X,Position: Y,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Fatigue Strength (MPa),Mechanics: Specific strength (Mpa/ (g/cm^3)),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Shear Modulus (GPa),Mechanics: Bulk Modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Mechanics: Friction Coefficient,Mechanics: Fracture Toughness (MPa/m^2),Mechanics: Poisson's Ratio,Mechanics: Speed of Sound (m/s),Thermo: Melting Point (Â°C),Thermo: Phase Transition Temperature (Â°C),Thermo: Specific Heat Capacity (J/(kgÂ·K)),Thermo: Binding Energy (kJ/mol),Thermo: Mixing Entropy (J/(molÂ·K)),Thermo: Mixing Enthalpy (kJ/mol),Thermo: Cohesive Energy (kJ/mol),Thermo: Thermal Expansion Coefficient (1/K),Thermo: Thermal Conductivity (W/(mÂ·K)),Magnetics: Magnetization (A/m),Magnetics: Saturation Magnetization (AÂ·m^2/kg),Magnetics: Coercivity (A/m),Magnetics: Magnetic Permeability (H/m),Magnetics: Curie Temperature (Â°C),Magnetics: Magnetic Hysteresis Loss (J/m^3),Thermoelectricity: Seebeck Coefficient (Î¼V/K),Thermoelectricity: Electrical Conductivity (S/m),Thermoelectricity: Thermal Conductivity (W/mÂ·K),Thermoelectricity: Figure of Merit,Electricity: Electrical Resistivity (Î©Â·m),Electricity: Dielectric Constant,Electricity: Dielectric Breakdown Strength (V/m),Electricity: Conductivity (S/m),Electricity: Capacitance (F),Electricity: Band Gap (eV),Electricity: Electron Mobility (cmÂ²/VÂ·s),Piezoelectricity: Piezoelectric Coefficient (m/V),Piezoelectricity: Electromechanical Coupling Coefficient,Piezoelectricity: Piezoelectric Strain Constant (m/V),Piezoelectricity: Piezoelectric Modulus (Pa),Piezoelectricity: Mechanical Quality Factor,Optics: Refractive Index,Optics: Optical Band Gap (eV),Optics: Transmittance (%),Optics: Absorption Coefficient (cm?»Â?,Optics: Abbe Number,Electrochemistry: Open Circuit Potential (V),Electrochemistry: Electrochemical Impedance (Î©),Electrochemistry: Charge Transfer Resistance (Î©),Electrochemistry: Exchange Current Density (A/mÂ²),Electrochemistry: Passivation Potential (V),Electrochemistry: Critical Pitting Temperature (Â°C),Electrochemistry: Corrosion Rate (mm/year),Electrochemistry: Corrosion Resistance Index,Electrochemistry: Corrosion Current Density (A/mÂ²),Others: DOI,Others: Reference,Others: Details,appendix_1,appendix_2(hardness+-deviation),appendix_3(Exp. Young modulus+-deviation),Unnamed: 82
Al0.5CrCuFeNi2,VAM + CR 43% + 700℃/24h,,C,23.0,,,7.631019169,,other,FCC+BCC+Sec.,,,,,,419.0,1085.0,1362.0,,178.4820572,,187.4137844,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + BCC + σ,,419,,
Al0.5CrCuFeNi2,VAM + CR 43% + 900℃/24h,,C,23.0,,,7.631019169,,other,FCC+BCC+Sec.,,,,,,380.0,704.0,1088.0,,142.5759752,,187.4137844,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + BCC + σ,,380,,
Al0.5CrCuFeNi2,VAM + CR 43% + 1100℃/24h,,C,23.0,,,7.631019169,,other,FCC+Sec.,,,,,,305.0,360.0,639.0,,83.73717663,,187.4137844,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + σ,,305,,
Al0.5CrCuFeNi2,,,C,,,,7.631019169,,FCC,FCC,,,,,,,,,,,,187.4137844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC,,,,
Al0.5CrFe1.5MnNi0.5,,,,25.0,,7.0,6.969236476,,BCC,BCC,,,,,,396.0,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,396,0,
Al0.5CrFe1.5MnNi0.5,VAM,,C,,,,6.969236476,,BCC,BCC,,,,,,,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC,,,,
Al0.5CrFe1.5MnNi0.5,"VAM + Aged, 700℃/20h",,C,,,,6.969236476,,other,BCC+Sec.,,,,,,,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC+ σ,,,,
Al0.5CrFe1.5MnNi0.5,VAM,,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,396 ± 7,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,396?7,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50%",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,428 ± 6,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,428?6,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50% + 1100℃/6h/AC",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,394 ± 10,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,394?10,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50% + 1100℃/6h/AC+ HR, 300℃/10%",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,428 ± 8,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,428?8,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50% + 1100℃/6h/AC+ HR, 300℃/30%",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,457 ± 11,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,457?11,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50% + 1100℃/6h/AC+ HR, 300℃/50%",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,464 ± 14,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,464?14,,
Al0.5CrFe1.5MnNi0.5,"VAM + Forged, 1200℃/50% + 1100℃/6h/AC+ HR, 300℃/80%",,C,,,,6.969236476,,other,BCC+BCC+B2,,,,,,480 ± 6,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC1 + BCC2 + B2,,480?6,,
Al0.5CrFe1.5MnNi0.5,"VAM + Aged, 700℃/20h",,C,,,,6.969236476,,other,BCC+Sec.,,,,,,788,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC + σ,,788,,
Al0.5CrFe1.5MnNi0.5,"VAM + Homogenized, 1100℃/2h/FC",,C,,,,6.969236476,,BCC,BCC,,,,,,,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC,,,,
Al0.5CrFe1.5MnNi0.5,VAM,,C,,,,6.969236476,,BCC,BCC,,,,,,,,,,,,200.6999403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC,,,,
Al0.5CrFe1.5MnNi0.6,OTHER,,C,,,,7.006598212,,BCC,BCC,,,,,,,,,,,,200.6864409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,BCC,,,,
Al0.5CrFeNiTi0.5,VAM,,C,23.0,,,6.530860368,,other,Other+B2,,,,,,,1880.0,3475.0,,532.0891589,,185.6637848,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,A2 + B2,,,,
Al0.5CrMoNbTiZr0.5,ANNEAL,,C,25.0,,6.96,6.943746243,,other,BCC+Laves,,,,,,,1784.633,,,,,165.7268916,,,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,,,
Al0.5CrNbTi2V0.5,ANNEAL,,C,25.0,,5.76,5.764907202,,other,BCC+Laves,,,,,,,1340.0,,,,,134.1294845,,,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,-,,,,
Al0.5Hf1Nb1Ta1Ti1Zr1,CAST,,C,25.0,,,9.3,,BCC,BCC,,,,,,396.0,1302.0,,,,97.0,104.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2014.11.064,,,,396,97,
Al0.5HfNbTaTiZr,,,C,25.0,,9.3,9.338160378,,BCC,BCC,,,,,,396.0,1302.0,,,,107.0,104.0625193,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,396,107,
Al0.5HfNbTaTiZr,CAST,,C,25.0,,9.34,9.338160378,,BCC,BCC,,,,,,396.0,1302.0,,,,97.0,104.0625193,,,46.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,396,97,
Al0.5Mo0.5Nb1Ta0.5Ti1Zr1,OTHER,,C,1000.0,,,7.6,,other,BCC+B2,,,,,,,579.0,646.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matdes.2017.11.033,,,,,,
Al0.5Mo0.5Nb1Ta0.5Ti1Zr1,OTHER,,C,25.0,,,7.6,,other,BCC+B2,,,,,,,2350.0,2460.0,,323.6842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matdes.2017.11.033,,,,,,
Al0.5Mo0.5NbTa0.5TiZr,OTHER,,C,25.0,,8.1,7.58684101,,other,BCC+B2,,,,,,,2350.0,,,,,123.0473273,,,3.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,-,,,,
Al0.5Mo1Nb1Ti1V1,CAST,,C,25.0,,,6.8,,BCC,BCC,,,,,,487.0,1625.0,1800.0,,264.7058824,,156.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3390/e16020870,,,,487,,
Al0.5MoNbTiV,,,C,25.0,,6.8,6.817877503,,BCC,BCC,,,,,,487.0,1625.0,,,,,155.5890876,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,487,0,
Al0.5MoNbTiV,CAST,,C,25.0,,6.8,6.817877503,,BCC,BCC,,,,,,487.0,1625.0,,,,158.0,155.5890876,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,,,487,158,
Al0.5Nb1Ta0.5Ti1Zr1,WROUGHT,,C,25.0,,,7.3,,other,BCC+HCP,,,,,,,1500.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta0.5Ti1Zr1,POWDER,,,,,,7.3,,BCC,BCC,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta0.5Ti1Zr1,WROUGHT,,C,25.0,,,7.3,,other,BCC+HCP,,,,,,,1200.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta0.5Ti1Zr1,WROUGHT,,C,25.0,,,7.3,,other,BCC+HCP,,,,,,,2100.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta0.5Ti1Zr1,WROUGHT,,C,25.0,,,7.3,,other,BCC+HCP,,,,,,,1740.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta0.5Ti1Zr1,WROUGHT,,C,25.0,,,7.3,,other,BCC+HCP,,,,,,,1630.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2019.03.075,,,,,,
Al0.5Nb1Ta1Ti1V1,CAST,,C,25.0,,,8.5,,BCC,BCC,,,,,,,1014.0,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.proeng.2012.03.043,,,,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,,,,25.0,,7.6,7.557222162,,BCC,BCC,,,,,,,2035.0,,,,,108.974285,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,,,,800.0,,7.6,7.557222162,,BCC,BCC,,,,,,,796.0,,,,,108.974285,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,Elongation>50,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,,,,1000.0,,7.6,7.557222162,,BCC,BCC,,,,,,,220.0,,,,,108.974285,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,Elongation>50,,,
Al0.5NbTa0.8Ti1.5V0.2Zr,,,C,25.0,,7.6,7.557222162,,BCC,BCC,,,,,,530.0,2035.0,2105.0,,276.9736842,,108.974285,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,530,0,
Al0.5NbTa0.8Ti1.5V0.2Zr,OTHER,,C,25.0,,7.42,7.557222162,,BCC,BCC,,,,,,530.0,2040.0,,,,,108.974285,,,4.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-RHEA,-,,530,,
Al0.5NbTaTiV,,,C,25.0,,8.5,8.460857347,,BCC,BCC,,,,,,,1014.0,,,,127.0,127.1790096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,BCC,,,127,
Al0.62Co1Cr1Fe1Mn1Ni1,CAST,,T,25.0,,,7.2,,other,FCC+BCC,,,,,,405.0,833.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2013.09.037,,,,405,,
Al0.62CoCrFeMnNi,,,T,25.0,,7.2,7.224271674,,other,FCC+BCC,,,,,,405.0,833.0,,,,,197.2888403,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,FCC + BCC,,405,0,
Al0.62CoCrFeMnNi,,,C,25.0,,7.225,7.224271674,,other,FCC+BCC,,,,,,404.5,832.5,,,,,197.2888403,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof.Yeh-3dtransitional,"{'Thermo-Calc TCHEA3 1000C': nan, 'FCC': 54.0, 'Cu-rich FCC': nan, 'BCC (FeCr-rich)': 7.0, 'BCC_B2 (NiAl-rich)': 39.0, 'Ni31Si12': nan, 'C14_Laves': nan, 'Sigma': nan, 'Cr3Si': nan, 'Mu phase': nan, 'M23C6': nan, 'M7C3': nan, 'Co2Si': nan, 'T6CuNiTi': nan, 'Graphite': nan}",,404 - 405  ,,
Al0.667C1Co0.667Cr0.667Fe0.667Ni0.667,CAST,,C,25.0,,,5.9,,other,BCC+Sec.,,,,,,,1255.0,2083.0,,353.0508475,73.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2010.10.047,,,,,73,
Al0.667Co0.667Cr0.667Fe0.667Mo0.333Ni1,CAST,,,25.0,,,7.2,,other,FCC+B2+Sec.,,,,,,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.intermet.2012.09.008,,,,586,,
Al0.667Co0.667Cr0.667Fe0.667Ni0.667Ti1,CAST,,C,25.0,,,6.1,,other,BCC+Sec.,,,,,,,2220.0,2720.0,,445.9016393,160.0,,,,6.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1063/1.2734517,,,,,160,
Al0.667Co0.667Cr0.667Fe1Mo0.333Ni0.667,CAST,,,25.0,,,7.2,,other,BCC+Sec.,,,,,,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.wear.2009.10.013,,,,635,,
Al0.667Co0.667Cu0.667Fe0.667Ni1,CAST,,C,25.0,,,7.2,,other,FCC+BCC+B2,,,,,,323.8,680.0,,,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jmst.2018.12.014,,,,323.8,,
Al0.667Co0.833Cr0.833Fe0.833Ni0.833Ti1,CAST,,C,25.0,,,6.3,,other,BCC+B2+Laves,,,,,,856.9,1272.0,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2019.07.100,,,,856.9,,
Al0.667Co1Cr0.667Fe0.667Mo0.333Ni0.667,CAST,,,25.0,,,7.2,,other,BCC+Sec.,,,,,,741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1002/adem.200900171,,,,741,,
Al0.667Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,CAST,,C,25.0,,,6.8,,other,BCC+Sec.,,,,,,,1461.0,1461.0,,214.8529412,163.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2006.11.049,,,,,163,
Al0.667Cr1Nb0.667Ti0.667V0.667,ANNEAL,,C,600.0,,,5.9,,other,BCC+Laves,,,,,,,1370.0,1480.0,,250.8474576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.08.224,,,,,,
Al0.667Cr1Nb0.667Ti0.667V0.667,ANNEAL,,C,800.0,,,5.9,,other,BCC+Laves,,,,,,,970.0,1045.0,,177.1186441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.08.224,,,,,,
Al0.667Cr1Nb0.667Ti0.667V0.667,ANNEAL,,C,1000.0,,,5.9,,other,BCC+Laves,,,,,,,75.0,105.0,,17.79661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.08.224,,,,,,
Al0.667Cr1Nb0.667Ti0.667V0.667,ANNEAL,,C,25.0,,,5.9,,other,BCC+Laves,,,,,,,1700.0,1700.0,,288.1355932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jallcom.2015.08.224,,,,,,
Al0.667Li0.667Mg0.333Sc0.667Ti1,,,,25.0,,,2.7,,other,FCC+HCP,,,,,,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1080/21663831.2014.985855,,,,591,,
Al0.667Nb0.667Ti0.667V0.667Zr1,ANNEAL,,C,600.0,,,5.8,,other,B2+Laves+Sec.,,,,,,,1195.0,1195.0,,206.0344828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2017.08.019,,,,,,
Al0.667Nb0.667Ti0.667V0.667Zr1,ANNEAL,,C,800.0,,,5.8,,other,B2+Laves+Sec.,,,,,,,180.0,395.0,,68.10344828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2017.08.019,,,,,,
Al0.667Nb0.667Ti0.667V0.667Zr1,ANNEAL,,C,25.0,,,5.8,,other,B2+Laves+Sec.,,,,,,,1535.0,1550.0,,267.2413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2017.08.019,,,,,,
Al0.667Nb1Ta0.333Ti1Zr0.333,OTHER,,C,25.0,,,6.8,,BCC,BCC,,,,,,408.0,1280.0,1367.0,,201.0294118,,105.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11837-014-1066-0,,,,408,,
Al0.667Nb1Ta0.333Ti1Zr0.333,OTHER,,C,800.0,,,6.8,,BCC,BCC,,,,,,,728.0,1000.0,,147.0588235,,105.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11837-014-1066-0,,,,,,
Al0.667Nb1Ta0.333Ti1Zr0.333,OTHER,,C,1000.0,,,6.8,,BCC,BCC,,,,,,,403.0,415.0,,61.02941176,,105.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11837-014-1066-0,,,Elongation>50,,,
Al0.68Co1Cr1Fe1Mn1Ni1,CAST,,,25.0,,,7.2,,other,FCC+BCC,,,,,,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.actamat.2013.09.037,,,,486,,
Al0.68CoCrFeMnNi,,,,25.0,,7.2,7.159194494,,other,FCC+BCC,,,,,,486.0,,,,,,195.4586628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,FCC + BCC,,486,0,
Al0.6Co1Cr0.333Fe0.333Mo0.067Ni1,CAST,,C,25.0,,,7.1,,other,FCC+BCC,,,,,,362.6,1250.8,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s00339-019-2506-z,,,,362.6,,
Al0.6Co1Cr0.333Fe0.333Mo0.1Ni0.967,CAST,,C,25.0,,,7.2,,other,FCC+BCC,,,,,,359.7,1198.3,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s00339-019-2506-z,,,,359.7,,
Al0.6Co1Cr1Fe1Ni1,CAST,,,,,,7.2,,other,FCC+BCC+B2,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matdes.2019.107698,,,,228,,
Al0.6CoCrFeNi,"Mechanical alloying + Hot press, 1000℃/30MPa/1h",,C,,,,7.196444853,,other,FCC+BCC,,,,,,570.0,,,,,,197.8913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + BCC,,570,,
Al0.6CoCrFeNi,"Mechanical alloying + Spark plasma Sintering, 1000℃/30MPa/8min",,C,,,,7.196444853,,other,FCC+BCC,,,,,,594.0,,,,,,197.8913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + BCC,,594,,
Al0.6CoFeNiTi0.4,"Mechanical alloying + Spark plasma Sintering, 1000℃/30MPa/6min",,C,23.0,,,6.822430836,,other,FCC+B2,,,,,,712 ± 12,2732.0,3172.0,,464.936923,,167.3435274,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paper_Collection_5_element,FCC + B2,,712?12,,
Al0.6Cr0.5Cu0.5Fe0.5Ni1,,,,25.0,,,6.9,,other,FCC+BCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1063/1.3587228,,,,,,
Al0.6Cr1Fe1Mn1Ni1,CAST,,C,25.0,,,6.9,,other,BCC+B2,,,,,,361.0,1130.0,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2019.04.104,,,,361,,
